Title,Overall Rating,Year,Genre,MPAA Rating,Directors,Actors,Plot
Compulsion,3.8,-2016,"Drama, Fantasy, Horror",,['Craig Goodwill'],"['Analeigh Tipton', 'Marta Gastini', 'Jakob Cedergren', 'Valentin Merlet']","After a fight with her boyfriend, successful female erotic novelist on a book tour in Europe joins her ex and his female friend, with whom she falls madly in love, for a party at a castle owned by a dangerous cult."
Fantastic Beasts and Where to Find Them,7.4,-2016,"Adventure, Family, Fantasy",PG-13,['David Yates'],"['Eddie Redmayne', 'Katherine Waterston', 'Alison Sudol', 'Dan Fogler']",The adventures of writer Newt Scamander in New York's secret community of witches and wizards seventy years before Harry Potter reads his book in school.
Deadpool,8,-2016,"Action, Adventure, Comedy",R,['Tim Miller'],"['Ryan Reynolds', 'Morena Baccarin', 'T.J. Miller', 'Ed Skrein']",A fast-talking mercenary with a morbid sense of humor is subjected to a rogue experiment that leaves him with accelerated healing powers and a quest for revenge.
Captain America: Civil War,7.8,-2016,"Action, Adventure, Sci-Fi",PG-13,"['Anthony Russo', 'Joe Russo']","['Chris Evans', 'Robert Downey Jr.', 'Scarlett Johansson', 'Sebastian Stan']",Political involvement in the Avengers' activities causes a rift between Captain America and Iron Man.
Suicide Squad,6.1,-2016,"Action, Adventure, Fantasy",PG-13,['David Ayer'],"['Will Smith', 'Jared Leto', 'Margot Robbie', 'Viola Davis']",A secret government agency recruits some of the most dangerous incarcerated super-villains to form a defensive task force. Their first mission: save the world from the apocalypse.
Leap!,6.8,-2016,"Animation, Adventure, Comedy",PG,"['Eric Summer', '\xc3\x89ric Warin', 'Mimi Maynard', 'Paulette Victor-Lifton']","['Elle Fanning', 'Dane DeHaan', 'Carly Rae Jepsen', 'Maddie Ziegler']","An orphan girl dreams of becoming a ballerina and flees her rural Brittany for Paris, where she passes for someone else and accedes to the position of pupil at the Grand Opera house."
Moana,7.6,(I) (2016),"Animation, Adventure, Comedy",PG,"['Ron Clements', 'John Musker', 'Don Hall', 'Chris Williams']","[""Auli'i Cravalho"", 'Dwayne Johnson', 'Rachel House', 'Temuera Morrison']","In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches Moana's island, she answers the Ocean's call to seek out the Demigod to set things right."
Split,7.3,(IX) (2016),"Horror, Thriller",PG-13,['M. Night Shyamalan'],"['James McAvoy', 'Anya Taylor-Joy', 'Haley Lu Richardson', 'Jessica Sula']",Three girls are kidnapped by a man with a diagnosed 23 distinct personalities. They must try to escape before the apparent emergence of a frightful new 24th.
Zootopia,8,-2016,"Animation, Adventure, Comedy",PG,"['Byron Howard', 'Rich Moore', 'Jared Bush']","['Ginnifer Goodwin', 'Jason Bateman', 'Idris Elba', 'Jenny Slate']","In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy."
Sing,7.1,-2016,"Animation, Comedy, Family",PG,"['Garth Jennings', 'Christophe Lourdelet']","['Matthew McConaughey', 'Reese Witherspoon', 'Seth MacFarlane', 'Scarlett Johansson']","In a city of humanoid animals, a hustling theater impresario's attempt to save his theater with a singing competition becomes grander than he anticipates even as its finalists' find that their lives will never be the same."
The Shape of Water,7.5,-2017,"Adventure, Drama, Fantasy",R,['Guillermo del Toro'],"['Sally Hawkins', 'Octavia Spencer', 'Michael Shannon', 'Doug Jones']","At a top secret research facility in the 1960s, a lonely janitor forms a unique relationship with an amphibious creature that is being held in captivity."
Jumanji: Welcome to the Jungle,7.1,-2017,"Action, Adventure, Comedy",PG-13,['Jake Kasdan'],"['Dwayne Johnson', 'Karen Gillan', 'Kevin Hart', 'Jack Black']","Four teenagers are sucked into a magical video game, and the only way they can escape is to work together to finish the game."
Thor: Ragnarok,8,-2017,"Action, Adventure, Comedy",PG-13,['Taika Waititi'],"['Chris Hemsworth', 'Tom Hiddleston', 'Cate Blanchett', 'Mark Ruffalo']","Thor is imprisoned on the other side of the universe and finds himself in a race against time to get back to Asgard to stop Ragnarok, the destruction of his homeworld and the end of ..."
Star Wars: The Last Jedi,7.4,-2017,"Action, Adventure, Fantasy",PG-13,['Rian Johnson'],"['Daisy Ridley', 'John Boyega', 'Mark Hamill', 'Carrie Fisher']","Rey develops her newly discovered abilities with the guidance of Luke Skywalker, who is unsettled by the strength of her powers. Meanwhile, the Resistance prepares for battle with the First Order."
"Three Billboards Outside Ebbing, Missouri",8.2,-2017,"Crime, Drama",R,['Martin McDonagh'],"['Frances McDormand', 'Woody Harrelson', 'Sam Rockwell', 'Caleb Landry Jones']",A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.
The Greatest Showman,7.9,-2017,"Biography, Drama, Musical",PG,['Michael Gracey'],"['Hugh Jackman', 'Michelle Williams', 'Zac Efron', 'Zendaya']","Celebrates the birth of show business, and tells of a visionary who rose from nothing to create a spectacle that became a worldwide sensation."
Justice League,6.8,-2017,"Action, Adventure, Fantasy",PG-13,['Zack Snyder'],"['Ben Affleck', 'Gal Gadot', 'Jason Momoa', 'Ezra Miller']","Fueled by his restored faith in humanity and inspired by Superman's selfless act, Bruce Wayne enlists the help of his newfound ally, Diana Prince, to face an even greater enemy."
Coco,8.5,(I) (2017),"Animation, Adventure, Comedy",PG,"['Lee Unkrich', 'Adrian Molina']","['Anthony Gonzalez', 'Gael Garc\xc3\xada Bernal', 'Benjamin Bratt', 'Alanna Ubach']","Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer."
Murder on the Orient Express,6.6,-2017,"Crime, Drama, Mystery",PG-13,['Kenneth Branagh'],"['Kenneth Branagh', 'Pen\xc3\xa9lope Cruz', 'Willem Dafoe', 'Judi Dench']","When a murder occurs on the train he's travelling on, celebrated detective Hercule Poirot is recruited to solve the case."
"I, Tonya",7.6,-2017,"Biography, Comedy, Drama",R,['Craig Gillespie'],"['Margot Robbie', 'Sebastian Stan', 'Allison Janney', 'Julianne Nicholson']",Competitive ice skater
Veronica,6.3,(I) (2017),"Drama, Horror",TV-MA,['Paco Plaza'],"['Sandra Escacena', 'Bruna Gonz\xc3\xa1lez', 'Claudia Placer', 'Iv\xc3\xa1n Chavero']","Madrid, 1991. A teen girl finds herself besieged by an evil supernatural force after she played Ouija with two classmates."
Call Me by Your Name,8,-2017,"Drama, Romance",R,['Luca Guadagnino'],"['Armie Hammer', 'Timoth\xc3\xa9e Chalamet', 'Michael Stuhlbarg', 'Amira Casar']","In 1980s Italy, a romance blossoms between a seventeen year-old student and the older man hired as his father's research assistant."
Lady Bird,7.6,-2017,"Comedy, Drama",R,['Greta Gerwig'],"['Saoirse Ronan', 'Laurie Metcalf', 'Tracy Letts', 'Lucas Hedges']","In 2002, an artistically inclined seventeen-year-old girl comes of age in Sacramento, California."
Get Out,7.7,(I) (2017),"Horror, Mystery, Thriller",R,['Jordan Peele'],"['Daniel Kaluuya', 'Allison Williams', 'Bradley Whitford', 'Catherine Keener']","A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point."
Darkest Hour,7.4,-2017,"Biography, Drama, History",PG-13,['Joe Wright'],"['Gary Oldman', 'Lily James', 'Kristin Scott Thomas', 'Ben Mendelsohn']","During the early days of World War II, the fate of Western Europe hangs on the newly-appointed British Prime Minister"
Blade Runner 2049,8.1,-2017,"Drama, Mystery, Sci-Fi",R,['Denis Villeneuve'],"['Harrison Ford', 'Ryan Gosling', 'Ana de Armas', 'Dave Bautista']","A young blade runner's discovery of a long-buried secret leads him to track down former blade runner Rick Deckard, who's been missing for thirty years."
Ferdinand,6.7,-2017,"Animation, Adventure, Comedy",PG,['Carlos Saldanha'],"['John Cena', 'Kate McKinnon', 'Bobby Cannavale', 'Jack Gore']","After Ferdinand, a bull with a big heart, is mistaken for a dangerous beast, he is captured and torn from his home. Determined to return to his family, he rallies a misfit team on the ultimate adventure."
Pitch Perfect 3,6,-2017,"Comedy, Music",PG-13,['Trish Sie'],"['Anna Kendrick', 'Rebel Wilson', 'Brittany Snow', 'Anna Camp']","Following their win at the world championship, the now separated Bellas reunite for one last singing competition at an overseas USO tour, but face a group who uses both instruments and voices."
