id,Title,Overall Rating,Year,Genre,MPAA Rating,Directors,Actors,Plot
1,Logan Lucky,2.81/4,2017,Comedy,PG-13,Steven Soderbergh,"Channing Tatum, Adam Driver, Riley Keough",A pair of brothers trying to reverse a family curse decide the cure is to pull off an elaborate heist set during the iconic NASCAR Coca-Cola 600 at the Charlotte Motor Speedway.
2,Ingrid Goes West,3.00/4,2017,Comedy/Drama,R,Matt Spicer,"Aubrey Plaza, Elizabeth Olsen, O'Shea Jackson Jr.",A mentally-disturbed woman seeks out a social media sensation but her decision to drop everything and move out West to befriend the seemingly perfect person has unsettling consequences.
3,Columbus,3.10/4,2017,Comedy/Drama,NR,Kogonada,"John Cho, Haley Lu Richardson, Parker Posey","With his architect father in a coma, a young Korean-born man finds himself drifting through Columbus, Indiana. He bonds with a young woman, who is in Columbus in order to care for her recovering addict mother, who is thinking of staying rather than pursue her own dreams."
4,Star Wars: The Last Jedi,2.75/4,2017,Adventure/Fantasy,PG-13,Rian Johnson,"Daisy Ridley, Oscar Isaac, Adam Driver","Rey has tracked down Luke Skywalker after years of isolation and though the former Jedi is reluctant to teach another, he realizes her raw power has consequences for the entire galaxy. Meanwhile, Kylo Ren and the First Order, recovering from the loss of their superweapon, step up their efforts to take down the Resistance, with a recovered Finn, ace pilot Poe Dameron and Resistance leader Leia doing everything in their power to hold their alliance together."
5,American Made,2.78/4,2017,Crime/Thriller,R,Doug Liman,"Tom Cruise, Sarah Wright, Domhnall Gleeson","Based on the true story of Barry Seal - a pilot turned drug runner turned DEA informant who played each side to the high life, before paying the ultimate price."
6,All the Money in the World,2.94/4,2017,Crime/Mystery,R,Ridley Scott,"Mark Wahlberg, Christopher Plummer, Michelle Williams","It is 1973 and J. Paul Getty is the richest man in the world - his fortune built on oil and also his notoriously miserly nature. When his grandson, Paul Getty, is kidnapped by a left-wing paramilitary organization in Italy, he cannot be swayed to part with any of his fortune to placate them. But Gail, Paul's mother, who believes in family over money, will stop at nothing to save her son. With time running out, and the kidnapper's becoming more anxious and brutal, Gail will team up with Fletcher Chace, who runs security for Getty, in order to get her son back."
7,Murder on the Orient Express (2017),2.78/4,2017,Drama/Mystery,PG-13,Kenneth Branagh,"Kenneth Branagh, Johnny Depp, Michelle Pfeiffer","Based on the classic murder-mystery from Agatha Christie - a lavish train ride for the well-to-do turns into something much more when a murder occurs. Thirteen strangers - one culprit and one dashing investigator, Hercule Poirot - everyone claims their innocence but the truth will come out - but will it be soon enough before another murder?"
8,Maudie,3.00/4,2017,Biography/Drama,PG-13,Aisling Walsh,"Ethan Hawke, Sally Hawkins, Kari Matchett","A local fixture in her community, Maudie works as a housekeeper, despite her arthritis, while honing her artistic skills on the side."
9,Loving Vincent,3.00/4,2017,Animation/Biography,PG-13,"Dorota Kobiela, Hugh Welchman","Aidan Turner, Saoirse Ronan, Eleanor Tomlinson",
10,Jumanji: Welcome to the Jungle,2.76/4,2017,Adventure/Fantasy,PG-13,Zach Helm,"Karen Gillan, Dwayne Johnson, Kevin Hart","Four students tasked with cleaning the school basement stumble upon an old gaming system. Hooking it up, the four choose their characters only to be transported into the world of Jumanji where the shy nerd is now a muscled tank, the jock is a puny brainiac, the shy girl is an Amazon warrior and the hottie is a schlubby professor. Together they will brave the wild animals, jungle traps and devious puzzles all in a bid to return to their normal lives."
